,title,style,genres
65,Lurka   Rhythm Hi Tek,"['Grime', 'Hard Techno', 'Bass Music', 'Deconstructed Club', 'Abstract', 'Bleep', 'Dubstep', 'Dancehall', 'Bassline']",['Electronic']
66,Hotline Recordings   G36   No Escape   Black Mass,"['Dubstep', 'Dub', 'Industrial']","['Electronic', 'Reggae']"
67,Kahn   Neek   Kahn   Neek   Backchat   Dubchat,"['Grime', 'Ghetto', 'Dancehall']","['Electronic', 'Reggae']"
68,Ats   Slack,['Electro'],['Electronic']
69,Parris   2 Vultures EP,"['Dub', 'Techno']",['Electronic']
70,Bearer   Bone,"['Dub', 'Experimental']",['Electronic']
71,Alien + B12 Remix   Unreleased 96 00,"['IDM', 'Ambient', 'Experimental', 'Breaks']",['Electronic']
72,XXIII   XXIII   VOLUME 6,['Renaissance'],['Classical']
73,PALEMAN   PLMN001,"['Techno', 'Bass Music']",['Electronic']
74,Trev   Of The Sorcerer,['Broken Beat'],['Electronic']
75,Hotline Recordings   Gantz   Tut Tut Situation   Love   Acid,['Experimental'],['Electronic']
76,The Humble Bee   Light Trespassing,"['Electroacoustic', 'Abstract', 'Ambient']",['Electronic']
77,XXIII   XXIII   VOLUME 1,"['Breakbeat', 'Hardcore', 'Techno']",['Electronic']
78,Dubkasm ft Rider Shafique ,"['Dub', 'Dubstep']","['Electronic', 'Reggae']"
79,JoeFarr   Longanimity EP,"['Techno', 'Broken Beat']",['Electronic']
80,Revelation Man   Medieval Massage,['Disco'],['Electronic']
81,Tony Boy   Umile  ,['Trap'],['Hip Hop']
82,Ishan Sound   RIder Shafique   Ishan Sound Vs Rider Shafique,"['Dub', 'Dubstep']","['Electronic', 'Reggae']"
83,SSIEGE   Meteora,"['Ambient', 'Experimental', 'IDM', 'Leftfield', 'Synth-pop']","['Electronic', 'Rock', 'Pop']"
84,Honeälome  Kuzma Palkin  Solotape  Hajj  Buttechno  2Beast  Ko$te   Omnia Vanitas,error,error
85,Data Assault   ND006   Black Earth EP,['Electro'],['Electronic']
86,Audrey   Spanka Clawz,"['Acid', 'Electro', 'Breaks', 'Techno']",['Electronic']
87,Mr.K   Red Handed,['Dubstep'],['Electronic']
88,slowthai   Runt,['Grime'],['Hip Hop']
89,Dave Saved   Power and Silence  Deindustrialization,['Experimental'],['Electronic']
90,keysound recordings   Strings Hoe ,"['Grime', 'Tribal House']",['Electronic']
91,Via Maris   Lekky   Hiblrr,"['Techno', 'Ambient']",['Electronic']
92,Ploy   Iron Lungs,"['Techno', 'Tribal', 'Bassline']",['Electronic']
93,Marco Shuttle   Cobalt Desert Oasis,"['Ambient', 'Techno', 'Experimental']",['Electronic']
94,EP 64   NLV001  EP 64   #45 ,['Experimental'],['Electronic']
95,Farsight   Leg Shake,"['Tribal', 'Breaks', 'Techno']",['Electronic']
96,memotone   Memotone LP,"['Ambient', 'Drone']",['Electronic']
97,Rainforest Spiritual Enslavement   Green Graves,"['Industrial', 'Dark Ambient', 'Noise', 'Abstract', 'Field Recording']",['Electronic']
98,Haramia Tapes   B2   Evening Theme,error,error
99,Lurka   Full Clip   BR Greaze,"['Bass Music', 'Dubstep', 'Dancehall', 'Halftime']",['Electronic']
100,Agrippa   Mygraine Urgraine   Harbour Run,"['Grime', 'Leftfield', 'Techno']",['Electronic']
101,XXIII   XXIII   150,"['Alternative Rock', 'Psychedelic Rock', 'Lo-Fi', 'Experimental', 'Trip Hop']","['Electronic', 'Rock']"
102,Yak   Umbra   Kaepora,['Dubstep'],['Electronic']
103,Chris Moss Acid   Lill Chill,"['Acid', 'Breaks', 'Techno', 'House']",['Electronic']
104,Lurka   Ritual Dingers   Choke,"['Dubstep', 'Electro', 'Techno']",['Electronic']
105,Two Shell   Access,['Techno'],['Electronic']
106,Bad Tracking   Widower EP,"['Industrial', 'Experimental', 'Noise', 'Dub', 'Power Electronics', 'Rhythmic Noise']",['Electronic']
107,Randomer   Hodge   Second Freeze   Simple As,"['Techno', 'Tribal']",['Electronic']
108,Keepsakes   Ever So Merry LP,['Techno'],['Electronic']
109,Aldrich   Ravaged Minds,"['Ambient', 'Breaks', 'Downtempo']",['Electronic']
110,Front de Cadeaux   SUPREME RALLENTATO VOLUME 4,"['House', 'Tech House', 'Dub']",['Electronic']
111,Pessimist   Holsten   The Riot Tune,"['Drum n Bass', 'Techno']",['Electronic']
112,Rachael   Rachael   Okada,"['Grime', 'House', 'Jungle']",['Electronic']
113,Sam Binga  Marcus Visionary   Sam Binga   Marcus Visionary   Doubles EP,['UK Funky'],['Electronic']
114,Susobrino   LA HOJA DE EUCALIPTO,"['Downtempo', 'Experimental', 'Juke']","['Electronic', 'Latin', 'Folk, World, & Country']"
115,SPIRINET   MY KISS,['Experimental'],"['Electronic', 'Hip Hop', 'Non-Music']"
116,DJ NIGGA FOX   O Meu Estilo EP,"['House', 'African', 'Kuduro']","['Electronic', 'Folk, World, & Country']"
117,Various Artists   Music For Balconies 1,['Indie Rock'],"['Electronic', 'Rock']"
118,Henry Greenleaf   Rush EP,"['Electro', 'Bassline']",['Electronic']
119,FLmm   Verluste EP,"['Industrial', 'Techno']",['Electronic']
120,Yabby You   King Tubby   Walls of Jerusalem,"['Roots Reggae', 'Dub']",['Reggae']
121,Ssiege   Beautiful Age,['Ambient'],['Electronic']
122,Somah Dark Arts,['Dubstep'],['Electronic']
123,Strange Audio Dreams   Error Design,"['Breaks', 'Ambient', 'Techno']",['Electronic']
124,memotone   SHIRO,"['Ambient', 'Drone', 'Classical']","['Electronic', 'Non-Music', 'Classical', 'Folk, World, & Country']"
125,Clouds   EDLX.046 Timeslip Roadmender EP,['Techno'],['Electronic']
126,Dj Normal 4   Vivid,"['Breakbeat', 'House', 'Electro']",['Electronic']
127,Thomas P Heckmann   Acid Seduction 2,"['Acid', 'Acid House']",['Electronic']
128,Matteo Coffetti   HypnotechoO,"['Techno', 'Downtempo', 'Tribal', 'House']",['Electronic']
129,Kowton   Utility,['Techno'],['Electronic']
130,Pearson Sound   Pearls,"['Blues Rock', 'Classic Rock', 'Psychedelic Rock']","['Rock', 'Blues']"
131,Warehouse Rave   Soul Mass Transit System   Dont Hold Back EP,"['UK Garage', 'Speed Garage', 'Bassline']",['Electronic']
132,DJ BeBeDeRa   Tarraxo Funguiça Das Negras  SP,error,error
133,Hundebiss Records   CLÁSICOS VOL. 1 – Edits collection by Jim C. Nedd,error,error
134,Berceuse Heroique   BH 071 Duckett   Emperors New Clothes Part Two,"['Abstract', 'Experimental']",['Electronic']
135,Pugilist   Pugilist   Pineapple Tune,error,error
136,Loefah   midnight,['Dubstep'],['Electronic']
137,Loefah   Root,['Dubstep'],['Electronic']
138,John T. Gast   5GTOUR,"['Dub', 'Techno', 'Experimental', 'Grime']",['Electronic']
139,Variance   VAR1000   VA #free #download,error,error
140,Devi Tensione   Tanto Tempo,"['Hyperpop', 'Leftfield']","['Electronic', 'Pop']"
141,Batu   SYX,"['Techno', 'Dubstep']",['Electronic']
142,Radial   Inverso Mundi EP,['Techno'],['Electronic']
143,Parris   Burr   Blue,['Techno'],['Electronic']
144,Big Hands   Lakamha,"['Illbient', 'Leftfield', 'Techno']",['Electronic']
145,Pangaea   Wont Hurt,"['Bass Music', 'Dubstep']",['Electronic']
146,RDL Shellah   Streets,error,error
147,Senyawa   Menuju Muara ,['Abstract'],['Rock']
148,For Those of You Who Have Never ,"['Ambient', 'Experimental']",['Electronic']
149,VA   Inverted Echoes   Pho Bho Records,error,error
150, Cybonix   Make This Party Live ,['Electro'],['Electronic']
151,JoeFarr   Spectate EP,['Techno'],['Electronic']
152,Young Druid   YOUNG DRUID,"['Instrumental', 'Pipe & Drum']","['Hip Hop', 'Brass & Military']"
153,01   Frankie Goes To Hollywood   Welcome To The Pleasuredome,"['Pop Rock', 'Synth-pop', 'Ballad']","['Electronic', 'Rock', 'Pop']"
154,dj haram   BODY COUNT,"['Footwork', 'Grime', 'Jersey Club']","['Electronic', 'Hip Hop']"
155,Walton   Taiko,"['Techno', 'Grime', 'UK Garage']",['Electronic']
156,Donato Dozzy   Cassandra ,"['Deep Techno', 'Ambient', 'Drone']",['Electronic']
157,SPIRITS OF THE BLACK LODGE   SPIRINET  Wind Ripped,error,error
158,Raccordo Fluviale Subalpino   Raccordo Fluviale Subalpino,"['Acid', 'Leftfield', 'Abstract', 'Ambient']",['Electronic']
159,J Zbel   A1 Diablo Verde,error,error
160,JV   Palf   Dont Stop ,error,error
161,Weird Weather   Succulents EP,"['Industrial', 'Dub', 'Experimental', 'Leftfield']",['Electronic']
162,Conrad Pack   Receptor,"['Dub', 'Techno']",['Electronic']
163,Mars89   Throbbing Pain,"['Industrial', 'Dub']",['Electronic']
164,Heith   Laguna,"['Experimental', 'Gamelan', 'Ambient']","['Electronic', 'Folk, World, & Country']"
165,Locked Club   Svoboda EP,"['Electro', 'Techno']",['Electronic']
166,A$AP Rocky   Cozy Tapes Vol. 1   Friends,['Hip Hop'],"['Electronic', 'Hip Hop']"
167,Thomas P Heckmann   Acid Seduction,"['Acid', 'Techno']",['Electronic']
168,V A   SECRET RAVE 03,"['Hard Trance', 'Trance', 'Techno', 'Acid']",['Electronic']
169,Filter Dread   Ice Rave,"['Experimental', 'Grime', 'Breakbeat']",['Electronic']
170,Planet Lonely ,"['Ambient', 'Leftfield', 'Downtempo']",['Electronic']
171,Piezo   LSD Superhero,['Techno'],['Electronic']
172,Dawl   Ultimate Damage,"['Breaks', 'Electro', 'Bleep']",['Electronic']
173,Pugilist   Blue 06,"['Breaks', 'Bass Music']",['Electronic']
174,O. G. JIGG   Dominion Window,,"['Folk, World, & Country']"
175,Sputnik One   Warm Body EP,['Techno'],['Electronic']
176,Al Wootton   Every Knee Shall Bow ,"['Dub', 'Dub Techno']","['Electronic', 'Reggae']"
177,V A   SECRET RAVE 04,"['Hard Trance', 'Trance', 'Techno', 'Acid']",['Electronic']
178,nthng   Are You Here,"['Techno', 'Electro']",['Electronic']
179,I HATE MODELS   PERSEPHONE,['Techno'],['Electronic']
180,Autumns   Dyslexia Sound System,"['Dub', 'Post-Punk', 'Coldwave', 'Techno', 'Experimental']","['Electronic', 'Rock']"
181,RG   Observer,"['Ambient', 'Dub', 'Dub Techno', 'Experimental', 'Field Recording']","['Electronic', 'Non-Music']"
182,Steve Summers   Generation Loss ,"['House', 'Techno', 'Acid', 'Experimental']",['Electronic']
183,King Doudou  Fauna  Dengue Dengue Dengue  Catnapp  Zonora Point   KD COMPIL 1,error,error
184,Gombeen   Doygen   DAmericana   Auto Lies,"['Dub Techno', 'Abstract']",['Electronic']
185,DK Riding for a Fall,['House'],['Electronic']
186,Samba Kings EP,['Dubstep'],['Electronic']
187,"De Grandi, Mc 2D, King Doudou   De Grandi   Sapristi ",error,error
188, Textasy   Nasty King Kurl   Bombers,"['Techno', 'Electro', 'Acid']",['Electronic']
189, Salamandos   The World To Come ,"['Acid House', 'Electro']",['Electronic']
190,Lamont   Cut It Back EP,"['Dubstep', 'Bass Music']",['Electronic']
191,Loefah   Mud,['Dubstep'],['Electronic']
192,Ulla   Tumbling Towards a Wall,['Ambient'],['Electronic']
193,Reptilian Expo   xperiametaphone,"['Abstract', 'Leftfield']","['Electronic', 'Non-Music']"
194,Unknown Artist   W.L.W.A.S.I.O.H. ,"['Acid', 'Acid House', 'Electro']",['Electronic']
195,Pugilist   Negative Space,"['Breaks', 'Dubstep', 'Techno']",['Electronic']
196,   Mode For Love E.P. ,['House'],['Electronic']
197,Sunson   ATABAQUE SESSIONS EP,error,error
198,xxoy.   Hip Hop Tuga Edits   Vol. 3 by xxoy,error,error
199,Falhaber   Baptised EP,"['Techno', 'Industrial']",['Electronic']
200,Glances   Stay There EP,"['Techno', 'Leftfield']",['Electronic']
201,Space Invaders Are Smoking Grass,['Electro'],['Electronic']
202,Robert Fleck   Soft focus  ,"['Broken Beat', 'Techno', 'Dub']",['Electronic']
203,V A   SECRET RAVE 05,"['Hard Trance', 'Trance', 'Techno', 'Acid']",['Electronic']
204,Ploy   Ramos   Roys Rolls,"['Leftfield', 'Tribal', 'Techno']",['Electronic']
205,Répéter   In Fine Style,error,error
206,JONQUERA   Hell Reggaeton,"['Downtempo', 'EBM', 'Dub']","['Electronic', 'Reggae']"
207,AIR Krew   A Walk Through H,['Leftfield'],['Electronic']
208,Big Hands   Arcane Mosaics,"['Grime', 'Dub Techno', 'Breaks', 'Leftfield']",['Electronic']
209,Distro   MOM046  Distro   Lust   Liquor,error,error
210,PEDRO   Damaia 2.0,"['Bass Music', 'House']",['Electronic']
211,EDMX   Mind Mechanixx,"['Electro', 'Techno', 'Industrial', 'Acid', 'Breakbeat']",['Electronic']
212,Frankie Knuckles   His Greatest Hits From Trax,['House'],['Electronic']
213,Jack Roland   Dream Technology,"['Electro', 'Breakbeat', 'House', 'Techno', 'Acid']",['Electronic']
214,V A   SECRET RAVE 02,"['Hard Trance', 'Trance', 'Techno', 'Acid']",['Electronic']
215,YOUTH   Blazer Sound System   YO6TH,"['Dub', 'Breakbeat']",['Electronic']
216,SEBASTIANO CARGHINI   ENXPL02   BLUE,"['Abstract', 'Ambient', 'Industrial', 'Dub']","['Electronic', 'Non-Music']"
217,K LONE   K LONE   Sine Language,"['Techno', 'House', 'Grime', 'Electro', 'UK Garage', 'Broken Beat']",['Electronic']
218,Marv   Keyboard Suite I,"['Ambient', 'Illbient', 'Leftfield', 'Minimal', 'New Age']","['Electronic', 'Folk, World, & Country']"
219,Asusu   Hallucinator   Sendak,"['Electro', 'Experimental']",['Electronic']
220,XXIII   XXIII   MEGATRON,error,error
221,Jerico   Run That,"['Europop', 'Soul', 'Ballad']","['Electronic', 'Funk / Soul', 'Pop']"
222,Clara! y Maoupa   Truenos,"['Experimental', 'Reggaeton']","['Electronic', 'Latin']"
223,Various artists   XXIII   VOLUME 4,"['Hard House', 'Hard Trance', 'House']",['Electronic']
224,Supreme Rallentato Volume 2,"['House', 'Tech House', 'Dub']",['Electronic']
225,Eva808   Oyuki EP,"['Dubstep', 'Grime']",['Electronic']
226,Klaus   Sabz   Qua  ,"['Downtempo', 'Dub', 'Ambient']",['Electronic']
227,Comme de Loin,"['Ambient', 'Abstract', 'Dark Ambient', 'Deep House']",['Electronic']
228,Henry Greenleaf   Fold Together EP,"['Breakbeat', 'UK Garage', 'Techno']",['Electronic']
229,Zoë Mc Pherson   Alva,error,error
230,Paleman   Like O,"['Dubstep', 'Dark Ambient', 'UK Garage']",['Electronic']
231,Buttechno   Sport  ,"['Techno', 'Experimental', 'House', 'Leftfield', 'Noise']",['Electronic']
232,DJ Overdose   Emulator Armour,"['Acid', 'Electro', 'Techno']",['Electronic']
233,Atoloi   CuraVoceScura,"['Tribal', 'Techno', 'Acid', 'Downtempo']",['Electronic']
234,Piezo   ANSIA004,"['Techno', 'Broken Beat']",['Electronic']
235,Konstruktivits   Glennascaul,"['Industrial', 'Experimental']",['Electronic']
236,MEDI82 Commodo   Shift   Instrumental,"['Grime', 'Dubstep']",['Electronic']
237,KAHN   SYSTM035   KAHN,['Dubstep'],['Electronic']
238,Buttechno   Badtrip ,"['Techno', 'Industrial']",['Electronic']
239,Front De Cadeaux Supreme Rallentato Volume 1,"['House', 'Tech House', 'Dub']",['Electronic']
240,Stepz Riddim ,['Dancehall'],['Reggae']
241,Fly By Night Recordings   FBN005   Locked Up,error,error
242,Sunun + Jiinx   Sunun + Jiinx,"['Dub', 'Grime', 'Experimental', 'Ambient']","['Electronic', 'Reggae']"
243,Babe Roots   Babe Roots LP,"['Dub', 'Dub Techno']","['Electronic', 'Reggae']"
244,Piezo   Piezo,['Bass Music'],['Electronic']
245,Anthro   Trigger Happs EP,"['Industrial', 'Techno']",['Electronic']
246,VA   Thick As Thieves,"['Techno', 'Experimental']",['Electronic']
247,Unknown Artists   Gomma Piuma,error,error
248,Gavnlig   Canola,error,error
249,NKC   Hague Basement,"['Techno', 'Tribal House']",['Electronic']
250,Abu Ama   AM002,"['Ambient', 'Experimental', 'Downtempo', 'Dub', 'Field Recording', 'Dub Techno']",['Electronic']
251,Holiday Inn Tropicantesimo   Torbido   Equohm,error,error
252,G Sudden   Bunout Boss EP,"['Dancehall', 'Bubbling']",['Reggae']
253,Lamont   Titanic   Eyes Closed,"['UK Garage', 'Broken Beat', 'Garage House', 'House', 'Techno']",['Electronic']
254,Wisecrack   Wisecrack,"['Abstract', 'Experimental']",['Electronic']
255,DJ APE   DJ OA$IS   Sleng Again   Sleng Again  Again,"['Techno', 'Dancehall']","['Electronic', 'Reggae']"
256,Rainforest Spiritual Enslavement   Flying Fish Ambience,"['Ambient', 'Tribal', 'Field Recording']",['Electronic']
257,Sunun   Ooid,['Dub'],['Electronic']
258, Salamandos   Follow The Messiah ,"['Acid House', 'Electro', 'House', 'Techno']",['Electronic']
259,Threat to Creation,['Dub'],['Reggae']
260,Tribe Of Colin   FRUITS OF ZION,"['Experimental', 'Techno', 'Religious']",['Electronic']
261,Low Jack   Virgin Traf 22   Grass 29,['Dancehall'],"['Electronic', 'Reggae']"
262,Francesco Cavaliere   Tessera Alata,error,error
263,Zuli  Rama   NMX003  Zuli   Rama,"['Experimental', 'Ambient', 'Industrial', 'Noise']",['Electronic']
264,TEMPEST   UNFULFILLED EP,error,error
265,Andy Mac   Ossia   Soup Riddim   Cado   Linguine,"['Dub', 'Dancehall', 'House']","['Electronic', 'Reggae']"
266,Significant Other   Oblivion  ,"['Techno', 'Experimental', 'Ambient']",['Electronic']
267,Space Drum Meditation   SDM001,"['Deep House', 'Techno', 'Breakbeat', 'Leftfield']",['Electronic']
268,Various Artists   WINDOW A   WINDOW B,"['Techno', 'Electro']",['Electronic']
269,Buttechno   Yalta Ukraine,"['Techno', 'Deep House', 'Deep Techno', 'House', 'Ambient', 'Experimental', 'Downtempo']",['Electronic']
270,Space Drum Meditation   SDM005,"['Techno', 'Tribal', 'Experimental']",['Electronic']
271,Qant Waiting Game EP,"['Drum n Bass', 'Jungle']",['Electronic']
272,Gaunt   Shes No Patsy,"['Techno', 'Leftfield', 'Experimental']",['Electronic']
273, Skander – Dirge ,"['Techno', 'Industrial']",['Electronic']
274,Marco Shuttle   Ritmo Elegante,"['Ambient', 'Techno']",['Electronic']
275,caterina barbieri   Clessidra,['Ambient'],['Electronic']
276,Stones Taro   Digital Vintage EP,"['Breakbeat', 'Breaks', 'UK Garage', 'House']",['Electronic']
277,O$VMV$M   Soak ,"['Ambient', 'Experimental', 'Instrumental']",['Electronic']
278,Mikael   Wildfire,['Dubstep'],['Electronic']
279,Chief Keef   Macaroni Time,"['Trap', 'Drill', 'Gangsta', 'Thug Rap']",['Hip Hop']
280, rainforest   jungle is our dub dub to jungle,"['Jungle', 'Dub']","['Electronic', 'Reggae']"
281,Ambulance vs Ambulance   Bitte Pill,['Abstract'],"['Electronic', 'Folk, World, & Country']"
282,Yak   Lucid Nightmare,"['Broken Beat', 'Techno']",['Electronic']
283,Sprawl + DArcangelo Remix   Time Tunnel,"['Electro', 'IDM', 'Techno', 'Breaks']",['Electronic']
284,Dj Healer   Nothing 2 Loose,"['Ambient', 'Breakbeat', 'House']",['Electronic']
285,dom peri x chicoria,error,error
286,Florian T M Zeisig   Coatcheck,"['Abstract', 'Ambient', 'Dub Techno']","['Electronic', 'Non-Music']"
287,Little Artist   CANCEL COPENHAGEN,"['Dub', 'Future Jazz']",['Electronic']
288,YOUTH   SSIEGE   Fading Summer   YOCS2,"['Ambient', 'Abstract', 'Synthwave', 'New Age']",['Electronic']
289,ZULI   Bionic Ahmed ,"['Abstract', 'Grime', 'Techno', 'Jungle', 'UK Garage']",['Electronic']
290,Digiaches   I See White,error,error
291, SSIEGE   Turbe In Sviluppo ,"['Abstract', 'Deep House', 'Techno']",['Electronic']
292,Tebra X Double Precision   Jokini,error,error
293,Le Combat   The Tower,"['Soundtrack', 'Video Game Music']",['Stage & Screen']
294,Big Hands   Ossario,"['Techno', 'Deep Techno', 'Leftfield']",['Electronic']
295,V A   LLI008 Compilation,error,error
296,Anthony Naples El Portal ,"['Deep House', 'Leftfield']",['Electronic']
297,Randomer   Smokin,"['Techno', 'Electro']",['Electronic']
298,Menzi   Impazamo,"['Experimental', 'Bass Music', 'Gqom']",['Electronic']
299,"Bear Bones, Lay Low   Voces De Humo ","['Leftfield', 'Experimental', 'Tribal', 'Drum n Bass']",['Electronic']
300,Space Drum Meditation   SDM002,"['Techno', 'Experimental', 'Electro']",['Electronic']
301,Samba   Winona  ,['Dubstep'],['Electronic']
302,Krikor   Gun Clash Riddim,"['Dub', 'Breakbeat']",['Electronic']
303,Dizee Rascal   Pagans EP ,error,error
304,Tolouse Low Trax   Decades vol.II,"['Experimental', 'Electro', 'Minimal', 'Techno', 'Industrial']",['Electronic']
305,Reedale Rise   Eternal Return,"['Electro', 'Techno', 'Acid']",['Electronic']
306,Robert Fleck   Injury Time,"['Abstract', 'Experimental', 'Speed Garage', 'Dubstep']",['Electronic']
307,Mido   Darunia  ,"['Techno', 'Tribal']",['Electronic']
308,Đ.K.   The Ancient Kingdom,"['Ambient', 'Downtempo', 'Tribal', 'House']",['Electronic']
309,King Doudou   FRUTA PROHIBIDA,error,error
310,Two Shell   Over U,"['Pop Rock', 'Indie Rock']",['Rock']
311,Senate   Gangstalker,"['Techno', 'Electro', 'Breakbeat', 'Bass Music']","['Electronic', 'Hip Hop']"
312,Four Tet   New Energy,"['Ambient', 'House', 'Techno', 'Minimal']",['Electronic']
313,wzrdryAV   Midnight Visions,"['Ambient', 'Dub Techno', 'Downtempo', 'Field Recording']",['Electronic']
314,Flowdan   Full Metal Jacket,['Grime'],['Electronic']
315,67   Lets Lurk ,"['Grime', 'Trap', 'Drill']",['Hip Hop']
316,Legowelt   Immensity Of Cosmic Space,"['Techno', 'Acid House', 'Breakbeat']",['Electronic']
317,Perc   Truss   Clapacid,['Techno'],['Electronic']
318,King Doudou   Worldwide Arena,error,error
319,Lemonick   Krizzli   Nammi,"['Grime', 'Dancehall', 'Trap', 'Experimental']",['Electronic']
320,Anunaku   Stargate EP,"['Breakbeat', 'Techno']",['Electronic']
321,Batu   Lurka   Curved   Bambounou Hyper Street Remix,"['Experimental', 'Techno', 'House']",['Electronic']
322,Franco Franco   Solo Fiori,,['Hip Hop']
323,Mala   Changes   Forgive,['Dubstep'],['Electronic']
324,Tenesha The WordSmith   Madea Dangerous Women,"['Abstract', 'Spoken Word', 'Poetry']","['Electronic', 'Non-Music']"
325,Tzusing   地心引力抓不住你,"['EBM', 'Industrial', 'Techno']",['Electronic']
326,Cash From Hash   Cash From Hash   Hot Blooded EP,error,error
327,Ossia   chester giles   Shackles   Anpao,"['Experimental', 'Dub']",['Electronic']
328,Senyawa   Alkisah,['Abstract'],['Rock']
